question,right_answer,bot_response
Liệt kê các cải tiến mà tất cả các bộ phận đều đã tham gia thực hiện.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE NOT EXISTS (SELECT Department.DepartmentId FROM Department WHERE NOT EXISTS (SELECT * FROM Jidouka AS J WHERE J.DepartmentId = Department.DepartmentId AND Jidouka.JidoukaId = J.JidoukaId));,SELECT DISTINCT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT DepartmentName FROM Department WHERE DepartmentName IN (SELECT 
Những cải tiến nào đã tiết kiệm được nhiều thời gian nhất cho từng bộ phận?,"SELECT Department.DepartmentName, Jidouka.ImprovementName, MAX(Jidouka.TotalTimeSaved) AS MaxTimeSaved FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId GROUP BY Department.DepartmentName;","SELECT DepartmentName, MAX(TotalTimeSaved) AS MaxTimeSaved FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId GROUP BY DepartmentName;"
Những công cụ nào chỉ được sử dụng trong các cải tiến thuộc bộ phận 'QA'?,SELECT Tool.ToolName FROM Tool WHERE Tool.ToolId IN (SELECT JidoukaTool.ToolId FROM JidoukaTool JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%QA%'))) AND Tool.ToolId NOT IN (SELECT JidoukaTool.ToolId FROM JidoukaTool JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DepartmentId != (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%QA%')));,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%QA%'));
Những cải tiến nào được tạo vào năm 2022?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE YEAR(Jidouka.DateCreate) = 2022;,SELECT ImprovementName FROM Jidouka WHERE DateCreate LIKE '%2022-01-01%';
Những nhóm nào có ít nhất một cải tiến với tổng số giờ tiết kiệm nhỏ hơn 50?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.TotalTimeSaved < 50;,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId GROUP BY GroupDC.GroupDCName HAVING COUNT(Jidouka.JidoukaId) < 50;
Danh sách các cải tiến với mô tả chứa từ 'năng suất' được tạo bởi bộ phận 'Sản xuất'.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Sản xuất%') AND Jidouka.Description LIKE '%năng suất%';,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE '%Sản xuất%';
Danh sách các cải tiến sử dụng phần mềm 'AutoCAD'.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.SoftwareUsing LIKE LOWER('%AutoCAD%');,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.SoftwareUsing LIKE '%AutoCAD%';
Bộ phận nào đã tạo ra nhiều cải tiến nhất?,SELECT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId GROUP BY Department.DepartmentName ORDER BY COUNT(Jidouka.JidoukaId) DESC LIMIT 1;,SELECT DepartmentName FROM Department ORDER BY COUNT(*) DESC LIMIT 1;
Cải tiến nào có tài liệu chi tiết chứa từ 'quy trình'?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DetailDocument LIKE '%quy trình%';,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DetailDocument LIKE '%quy trình%';
Liệt kê tên cải tiến và tổng số giờ tiết kiệm được của mỗi nhóm trong bộ phận 'Production'.,"SELECT GroupDC.GroupDCName, SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Production%') GROUP BY GroupDC.GroupDCName;","SELECT GroupDC.GroupDCName, SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Production%') GROUP BY GroupDC.GroupDCName;"
Những cải tiến nào sử dụng công cụ 'Tool A' và được áp dụng cho sản phẩm 'Product Z'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool A%') AND Jidouka.ProductApply LIKE LOWER('%Product Z%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Jidouka.ProductApply LIKE LOWER('%Product Z%') AND JidoukaTool.ToolName LIKE LOWER('%Tool A%');
Các bộ phận đã sử dụng cả hai công cụ 'Tool B' và 'Tool C' trong các cải tiến của mình là gì?,SELECT DISTINCT Department.DepartmentName FROM Department WHERE Department.DepartmentId IN (SELECT Jidouka.DepartmentId FROM Jidouka JOIN JidoukaTool AS JT1 ON Jidouka.JidoukaId = JT1.JidoukaId JOIN Tool AS T1 ON JT1.ToolId = T1.ToolId WHERE T1.ToolName LIKE LOWER('%Tool B%') INTERSECT SELECT Jidouka.DepartmentId FROM Jidouka JOIN JidoukaTool AS JT2 ON Jidouka.JidoukaId = JT2.JidoukaId JOIN Tool AS T2 ON JT2.ToolId = T2.ToolId WHERE T2.ToolName LIKE LOWER('%Tool C%'));,"SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JidoukaId IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName IN ('Tool B', 'Tool C')) GROUP BY Department.DepartmentName;"
Liệt kê tất cả các cải tiến được tạo trong cùng ngày mà cải tiến có tên 'Jidouka Alpha' được tạo ra.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate = (SELECT DateCreate FROM Jidouka WHERE ImprovementName LIKE LOWER('%Jidouka Alpha%'));,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DateCreate = (SELECT DateCreate FROM Jidouka WHERE ImprovementName LIKE LOWER('%Jidouka Alpha%'));
Những cải tiến nào được sử dụng nhiều nhất (tham chiếu trong bảng JidoukaTool)?,"SELECT Jidouka.ImprovementName, COUNT(JidoukaTool.ToolId) AS UsageCount FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId GROUP BY Jidouka.ImprovementName ORDER BY UsageCount DESC LIMIT 1;","SELECT Jidouka.ImprovementName, COUNT(JidoukaTool.ToolId) AS UsageCount FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId GROUP BY Jidouka.ImprovementName ORDER BY UsageCount DESC;"
Có bao nhiêu cải tiến được áp dụng trong tất cả các nhóm của bộ phận 'R&D'?,SELECT COUNT(DISTINCT Jidouka.JidoukaId) AS TotalImprovements FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%R&D%') AND NOT EXISTS (SELECT GroupDCId FROM GroupDC WHERE GroupDC.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%R&D%')) AND GroupDC.GroupDCId NOT IN (SELECT GroupDCId FROM Jidouka));,SELECT COUNT(DISTINCT Jidouka.ImprovementName) FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%R&D%');
Danh sách các nhóm có cải tiến được tạo vào tháng 6 năm 2023.,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE MONTH(Jidouka.DateCreate) = 6 AND YEAR(Jidouka.DateCreate) = 2023;,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE MONTH(Jidouka.DateCreate) = 6 AND YEAR(Jidouka.DateCreate) = 2023;
Những cải tiến nào được áp dụng trong nhóm 'Nhóm 1' của bộ phận 'Phát triển'? ,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Nhóm 1%') AND Department.DepartmentName LIKE LOWER('%Phát triển%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Nhóm 1%') AND Department.DepartmentName LIKE LOWER('%Phát triển%');
Danh sách các cải tiến được tạo vào ngày 15/08/2023.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DateCreate LIKE LOWER('%2023-08-15%');,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate LIKE LOWER('%2023-08-15%');
Liệt kê những cải tiến có tổng số giờ tiết kiệm lớn nhất.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.TotalTimeSaved = (SELECT MAX(Jidouka.TotalTimeSaved) FROM Jidouka);,SELECT Jidouka.ImprovementName FROM Jidouka WHERE TotalTimeSaved = (SELECT MAX(TotalTimeSaved) FROM Jidouka);
Tìm các bộ phận có cải tiến áp dụng cho 'CAE' nhưng không sử dụng công cụ 'Tool Y'.,SELECT DISTINCT Department.DepartmentName FROM Department WHERE Department.DepartmentId IN (SELECT Jidouka.DepartmentId FROM Jidouka WHERE Jidouka.JobId = (SELECT JobId FROM Job WHERE JobName LIKE LOWER('%CAE%')) AND Jidouka.JidoukaId NOT IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool Y%')));,SELECT DISTINCT Department.DepartmentName FROM Department JOIN Jidouka ON Department.DepartmentId = Jidouka.DepartmentId WHERE Jidouka.JobId IN (SELECT Job.JobId FROM Job WHERE Job.JobName LIKE LOWER('%CAE%') AND Jidouka.JidoukaId NOT IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool Y%')));
Danh sách các nhóm đã triển khai ít nhất một cải tiến có sử dụng công cụ 'Tool Z' và được tạo trong năm 2023.,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool Z%') AND YEAR(Jidouka.DateCreate) = 2023;,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE JidoukaTool.ToolName LIKE LOWER('%Tool Z%') AND Jidouka.JidoukaYear > 2023;
Những công cụ nào đã được sử dụng trong tất cả các cải tiến của bộ phận 'Automation'?,SELECT Tool.ToolName FROM Tool WHERE NOT EXISTS (SELECT Jidouka.JidoukaId FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Automation%') AND Jidouka.JidoukaId NOT IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool WHERE JidoukaTool.ToolId = Tool.ToolId));,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%Automation%')) ORDER BY JidoukaTool.ToolId;
Những cải tiến nào liên quan đến nhóm 'Team Alpha' và được triển khai trong các bộ phận khác nhau?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.GroupDCId = (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%Team Alpha%')) GROUP BY Jidouka.ImprovementName HAVING COUNT(DISTINCT Jidouka.DepartmentId) > 1;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Team Alpha%');
Những tác giả nào có cải tiến tiết kiệm được nhiều hơn 50 giờ và thuộc bộ phận AS?,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Jidouka.TotalTimeSaved > 50 AND Department.DepartmentName LIKE LOWER('%AS%');,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%AS%') GROUP BY Author.AuthorName HAVING Jidouka.TotalTimeSaved > 50;
Những tác giả nào đã tạo cải tiến vào năm 2022?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE YEAR(Jidouka.DateCreate) = 2022;,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE YEAR(Jidouka.DateCreate) = 2022;
Những cải tiến nào có tổng số công việc áp dụng lớn hơn 100 và sử dụng phần mềm 'AutoCAD'?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.TotalJobApplied > 100 AND Jidouka.SoftwareUsing LIKE LOWER('%AutoCAD%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE '%AutoCAD%' AND Jidouka.TotalJobApplied > 100;
Danh sách các công cụ được sử dụng trong cải tiến có mô tả chứa từ 'bảo trì'.,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.Description LIKE '%bảo trì%';,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId IN (SELECT Jidouka.JidoukaId FROM Jidouka WHERE Jidouka.Description LIKE '%bảo trì%');
Những cải tiến nào có ngày tạo sau ngày 01/01/2023?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DateCreate > '2023-01-01';,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DateCreate > '2023-01-01';
Những cải tiến nào thuộc loại hình công việc 'Lập trình'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE LOWER('%Lập trình%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE '%Lập trình%';
Liệt kê các cải tiến sử dụng nhiều hơn 3 công cụ.,"SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId GROUP BY Jidouka.JidoukaId, Jidouka.ImprovementName HAVING COUNT(JidoukaTool.ToolId) > 3;",SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId GROUP BY Jidouka.ImprovementName HAVING COUNT(JidoukaTool.ToolId) > 3;
Những cải tiến nào có tổng số công việc áp dụng ít hơn 20 và thuộc nhóm 'Nhóm A'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE Jidouka.TotalJobApplied < 20 AND GroupDC.GroupDCName LIKE LOWER('%Nhóm A%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Nhóm A%') AND Jidouka.TotalJobApplied < 20;
Những công cụ nào được sử dụng bởi cả 'Team Alpha' và 'Team Beta'?,SELECT DISTINCT Tool.ToolName FROM Tool WHERE Tool.ToolId IN (SELECT JidoukaTool.ToolId FROM JidoukaTool JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.GroupDCId IN (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%Team Alpha%'))) AND Tool.ToolId IN (SELECT JidoukaTool.ToolId FROM JidoukaTool JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.GroupDCId IN (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%Team Beta%')));,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId IN (SELECT Jidouka.JidoukaId FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE Jidouka.GroupDCId IN (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%Team Alpha%'))) AND JidoukaTool.JidoukaId IN (SELECT Jidouka.JidoukaId FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE Jidouka.GroupDCId IN (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%Team Beta%'))) AND JidoukaTool.ToolId IN (SELECT Tool.ToolId FROM Tool WHERE Tool.ToolName LIKE LOWER('%Tool A%')) AND JidoukaTool.ToolId IN (SELECT Tool.ToolId FROM Tool WHERE Tool.ToolName LIKE LOWER('%Tool B%'));
Những cải tiến nào được thực hiện bởi nhóm thuộc bộ phận 'Automation' nhưng không có link video?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.GroupDCId IN (SELECT GroupDCId FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Automation%')) AND Jidouka.Video IS NULL;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Automation%') AND Jidouka.Video IS NULL;
Những cải tiến nào có sử dụng cùng lúc nhiều hơn 3 công cụ?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.JidoukaId IN (SELECT JidoukaTool.JidoukaId FROM JidoukaTool GROUP BY JidoukaTool.JidoukaId HAVING COUNT(JidoukaTool.ToolId) > 3);,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId GROUP BY Jidouka.ImprovementName HAVING COUNT(JidoukaTool.ToolId) > 3;
Những cải tiến nào thuộc bộ phận 'Research' và tiết kiệm tổng số giờ cao nhất?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%Research%')) ORDER BY Jidouka.TotalTimeSaved DESC LIMIT 1;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Research%') ORDER BY Jidouka.TotalTimeSaved DESC LIMIT 1;
Cho tôi danh sách các cải tiến sử dụng phần mềm 'Python'.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.SoftwareUsing LIKE LOWER('%Python%');,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.SoftwareUsing LIKE '%Python%';
Liệt kê các cải tiến có sử dụng công cụ chứa từ 'tự động'.,SELECT DISTINCT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE '%tự động%';,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE '%tự động%';
Cải tiến nào của bộ phận 'Nhân sự' có tổng số công việc áp dụng lớn hơn 50?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Nhân sự%') AND Jidouka.TotalJobApplied > 50;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Nhân sự%') GROUP BY Jidouka.ImprovementName HAVING COUNT(Jidouka.JidoukaId) > 50;
Những công cụ nào được sử dụng trong các cải tiến được tạo bởi 'Nguyễn Văn A'?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Nguyễn Văn A%');,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.AuthorId = (SELECT Author.AuthorId FROM Author WHERE Author.AuthorName LIKE LOWER('%Nguyễn Văn A%'));
Liệt kê những cải tiến được tạo bởi nhóm thuộc bộ phận 'Kế toán'.,SELECT DISTINCT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Kế toán%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Kế toán%');
Những cải tiến nào được tạo vào tháng 6 năm 2023?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE MONTH(Jidouka.DateCreate) = 6 AND YEAR(Jidouka.DateCreate) = 2023;,SELECT ImprovementName FROM Jidouka WHERE DateCreate LIKE LOWER('%2023-06-01%');
Những cải tiến nào của nhóm 'Nhóm C' không sử dụng công cụ nào?,SELECT Jidouka.ImprovementName FROM Jidouka LEFT JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Nhóm C%') AND JidoukaTool.ToolId IS NULL;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId WHERE Jidouka.GroupDCId = (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE LOWER('%Nhóm C%')) AND JidoukaTool.ToolId IS NULL;
Công cụ nào đã được sử dụng trong tất cả các cải tiến?,SELECT Tool.ToolName FROM Tool WHERE NOT EXISTS (SELECT Jidouka.JidoukaId FROM Jidouka WHERE NOT EXISTS (SELECT JidoukaTool.JidoukaId FROM JidoukaTool WHERE JidoukaTool.ToolId = Tool.ToolId AND JidoukaTool.JidoukaId = Jidouka.JidoukaId));,SELECT Tool.ToolName FROM Tool WHERE NOT EXISTS (SELECT JidoukaTool.ToolId FROM JidoukaTool WHERE JidoukaTool.ToolId = Tool.ToolId AND JidoukaTool.JidoukaId = Jidouka.JidoukaId)
Tổng số giờ tiết kiệm của tất cả các cải tiến trong bộ phận 'Kỹ thuật'.,SELECT SUM(Jidouka.TotalTimeSaved) FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Kỹ thuật%');,SELECT SUM(TotalTimeSaved) FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Kỹ thuật%');
Những cải tiến nào của 'Nguyễn Thị B' sử dụng công cụ 'Excel'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%Nguyễn Thị B%') AND Tool.ToolName LIKE LOWER('%Excel%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Jidouka.AuthorId = (SELECT Author.AuthorId FROM Author WHERE Author.AuthorName LIKE LOWER('%Nguyễn Thị B%'));
